Date,Time,price_east,price_west,load_west,load_eeast
01-01-2015,1,25.02,27.38,1910.9,1427
01-01-2015,2,18.29,18.29,1837.3,1385.9
01-01-2015,3,16.04,16.04,1764.2,1326.5
01-01-2015,4,14.6,14.6,1690.9,1262.5
01-01-2015,5,14.95,14.95,1660.5,1228.2
01-01-2015,6,14.5,14.5,1684.2,1232.5
01-01-2015,7,10.76,10.76,1770.8,1268.6
01-01-2015,8,12.01,12.01,1864.3,1307.7
01-01-2015,9,12.39,12.39,1928.7,1354
01-01-2015,10,14.04,14.04,2071.5,1413.3
01-01-2015,11,14.68,14.68,2109,1505.1
01-01-2015,12,16.08,16.08,2205.6,1575.3
01-01-2015,13,16.08,16.08,2235.3,1617.8
01-01-2015,14,16.05,25.42,2235.4,1649.3
01-01-2015,15,16.04,26.78,2240.5,1663.7
01-01-2015,16,16.1,27.51,2307.4,1712.2
01-01-2015,17,23.93,28.32,2457.3,1814.5
01-01-2015,18,26.9,28.36,2626.8,1901.2
01-01-2015,19,26.36,28.18,2583.8,1887.9
01-01-2015,20,23.98,27.81,2447.7,1806
01-01-2015,21,16.09,16.09,2342.7,1704.1
01-01-2015,22,14.08,14.08,2263.3,1608.5
01-01-2015,23,12.44,12.44,2133.8,1504
01-01-2015,24,0.04,0.04,2111.6,1461.4
01-02-2015,1,-12.11,-12.11,1989.2,1376.2
01-02-2015,2,-19.63,-19.63,1910.3,1300.2
01-02-2015,3,-19.37,-19.37,1888.9,1282.2
01-02-2015,4,-31.41,-31.41,1889.4,1287.7
01-02-2015,5,-31.41,-31.41,1902.9,1301.9
01-02-2015,6,-13.48,-13.48,1960.5,1345
01-02-2015,7,0.08,0.08,2179.4,1483.1
01-02-2015,8,10.06,28.37,2405.2,1613.9
01-02-2015,9,14.25,28.37,2607.4,1718.4
01-02-2015,10,14.56,28.32,2703.7,1804.8
01-02-2015,11,14.64,28.3,2732.4,1879.6
01-02-2015,12,15.08,28.39,2684.5,1889
01-02-2015,13,15.41,28.3,2615.1,1873.9
01-02-2015,14,14.52,28.24,2606.7,1861.9
01-02-2015,15,14.7,28.12,2596.6,1837.5
01-02-2015,16,14.66,28.23,2606.8,1845.9
01-02-2015,17,16.09,28.59,2770.1,1991.7
01-02-2015,18,25.1,28.73,3021.5,2143.2
01-02-2015,19,25.06,28.48,2950.8,2115.8
01-02-2015,20,18.34,28.38,2715.9,1965.9
01-02-2015,21,14.26,15,2515.3,1817.2
01-02-2015,22,12.22,12.22,2379.9,1710.6
01-02-2015,23,8,10.4,2235.1,1587.3
01-02-2015,24,-0.33,-0.33,2167.1,1541.2
01-03-2015,1,-0.08,-0.08,2076.4,1434.1
01-03-2015,2,-0.07,-0.07,2003.1,1359.1
01-03-2015,3,-5.03,-5.03,1953,1322.2
01-03-2015,4,0.01,0.01,1906.8,1304.6
01-03-2015,5,-0.04,-0.04,1860.9,1301.9
01-03-2015,6,0.03,0.03,1899.2,1320
