Date,time,price_west,DK-West: Gross consumption,price_east,DK-East: Gross consumption,DK-West: Net consumption,DK-East: Net consumption
01-01-2016,1,16.39,1958,16.39,1413.4,1886.8,1386.6
01-01-2016,2,16.04,1813.6,16.04,1330.4,1749.1,1303.8
01-01-2016,3,15.74,1737.8,15.74,1273.7,1676.5,1247
01-01-2016,4,15.57,1671.1,15.57,1218.8,1610.6,1192.8
01-01-2016,5,15.47,1634.1,15.47,1181.6,1575.4,1155.6
01-01-2016,6,15.75,1645.4,15.75,1182.4,1589.5,1156.1
01-01-2016,7,15.36,1689.5,15.36,1211,1640.2,1184.8
01-01-2016,8,15.37,1735.5,15.37,1245.7,1696.8,1219.6
01-01-2016,9,15.19,1800.3,15.19,1278.9,1753.6,1252.5
01-01-2016,10,15.39,1904.3,15.39,1354.1,1857.6,1318.7
01-01-2016,11,15.78,2054.7,15.78,1450.2,2000.5,1414.1
01-01-2016,12,16.15,2131.9,16.15,1519,2068,1482.8
01-01-2016,13,16.5,2163.1,16.5,1552.9,2085.4,1516
01-01-2016,14,16.72,2159.4,16.72,1568.5,2085.8,1531
01-01-2016,15,17.17,2171.9,17.17,1583.6,2085.3,1545.4
01-01-2016,16,18,2216,18,1624.8,2131.8,1583.3
01-01-2016,17,18.53,2436.2,18.53,1746.9,2345.2,1704.4
01-01-2016,18,19.11,2650.6,19.11,1842.9,2558.3,1800.7
01-01-2016,19,18.68,2604.4,18.68,1820.3,2506,1784.3
01-01-2016,20,17.93,2453.6,17.93,1735.3,2356.9,1696.7
01-01-2016,21,17.69,2287,17.69,1624,2191.6,1586.8
01-01-2016,22,17.33,2148.4,17.33,1533.3,2052.1,1497.3
01-01-2016,23,16.75,2022.1,16.75,1441.6,1924.3,1407
01-01-2016,24,16.25,1886.6,16.25,1352.3,1789.6,1317.9
02-01-2016,1,0.67,1793.8,16.47,1274.3,1727.2,1240.2
02-01-2016,2,9.9,1681.9,15.89,1203.9,1629.3,1173.2
02-01-2016,3,15.03,1648.5,15.03,1172.6,1592.9,1146.5
02-01-2016,4,12.77,1691,13.19,1188,1614.6,1144.4
02-01-2016,5,11.27,1736.2,12.69,1202.2,1623.4,1152.9
02-01-2016,6,11.91,1958.7,12.94,1251.9,1838.9,1195.5
02-01-2016,7,12.62,2105.4,13.59,1332.7,1991,1269.3
02-01-2016,8,13.83,2315.7,14.25,1429.8,2207.9,1372.7
